ID,Nombre,HSV_Colores_Dominantes,Tonalidad_Recomendada
1940,wolf_11.png,"(7.0158672917412845, 8.138635626562605, 19.50596822670677) | (8.616789908655448, 2.893255363240603, 43.683708997617785) | (9.37030232169789, 1.5950191285071464, 73.05133070597955) | (8.408293460925387, 4.350742471203181, 30.2921382953753) | (9.20833986518259, 2.116126549608833, 58.652696504054305)",mestizo
1941,wolf_2.png,"(197.78492345836122, 39.01734977503424, 52.61394281342622) | (199.949992601821, 63.45114260250529, 13.36612370682162) | (14.026985436026612, 62.90212171234424, 57.95181718630552) | (359.5097507573503, 61.83968674595513, 88.92723012589828) | (194.9232272855984, 28.811779567345713, 79.87051887040333)",claro
1942,wolf_3.png,"(26.58325020601324, 9.475369122416039, 75.68982566918056) | (3.570858789191833, 27.803619234161108, 26.923077823713182) | (26.086074688205958, 8.273668281940877, 40.801130315055794) | (25.87338915270032, 12.049215756624882, 59.12358838492771) | (3.0925805447876353, 23.013549175805103, 15.52639983828476)",mestizo
1943,wolf_4.png,"(358.9901747597654, 11.53575781972834, 79.13068702707885) | (359.94212683867823, 15.218327144210573, 39.28227476484737) | (359.04940073849684, 13.92024084678887, 53.48719107999553) | (358.6008508922854, 14.692522428061924, 67.96495843846522) | (4.882292056640054, 14.047858435552268, 23.98765164122224)",claro
1944,wolf_5.png,"(0.0, 0.0, 71.58423547725172) | (0.0, 0.0, 12.013939332224613) | (0.0, 0.0, 41.1285966400484) | (0.0, 0.0, 57.18722106151108) | (0.0, 0.0, 25.668561389753968)",mestizo
1945,wolf_6.png,"(190.55128043398418, 0.6465288731783826, 35.88462118185582) | (191.95759065764702, 0.5064871288607726, 66.79397209573139) | (192.20887245842982, 9.009268430616748, 15.59733980524774) | (180.6653225806009, 0.213261237276237, 55.15347047085144) | (185.26829268292792, 0.656372069195871, 45.314844753969254)",claro
1946,wolf_7.png,"(202.955170285586, 25.057559380719425, 50.985698569856986) | (204.24730963001767, 36.765199954733184, 26.873757803636224) | (207.46185655991084, 16.570674230194765, 72.17964382243008) | (205.11304747747647, 28.513788193859124, 38.103192130094385) | (205.50348967774585, 17.85722242535526, 60.65966301379662)",claro
1947,wolf_8.png,"(313.94420411282863, 50.847868519329445, 27.26009324881567) | (35.161652063743205, 70.18227646479971, 88.59078872335401) | (41.16663341864849, 10.08912675429804, 57.09672644263826) | (46.03590701461603, 16.524404835850223, 77.32113604110508) | (352.7068494869943, 23.308717457403645, 43.95186435229827)",moreno
1948,wolf_9.png,"(310.1399285598204, 75.34026821656242, 12.756302065652969) | (295.7889685727244, 55.8418421970305, 75.68574974070245) | (349.1371337178587, 76.81030074092008, 78.3185675898581) | (20.87550464745093, 48.30768881884056, 92.6160793315032) | (292.0334703693589, 73.76458109077637, 47.668249412862224)",claro
1949,woman's.png,"(0.0, 0.0, 55.34654139433551) | (0.0, 0.0, 12.563642783905337) | (0.0, 0.0, 23.935298408203533) | (0.0, 0.0, 71.8039849219171) | (0.0, 0.0, 39.597350645944005)",mestizo
